Type,Width,Length,Pack Qty,Input Price,Thickness,Product Kind,Surface Finish,Supplier Info,Info Received From,Price/in²,Price/ft²,Price/m²,Notes
sheets,8.5 in,11 in,50,$19.99,"5mil","Non Adhesive","","4sGraphics","",$0.0043,$0.6157,$6.6277,""
sheets,11 in,17 in,50,$39.99,"5mil","Non Adhesive","","4sGraphics","",$0.0043,$0.6159,$6.6294,""
sheets,12 in,18 in,50,$45.99,"5mil","Non Adhesive","","4sGraphics","",$0.0043,$0.6132,$6.6004,""
sheets,13 in,19 in,50,$52.99,"5mil","Non Adhesive","","4sGraphics","",$0.0043,$0.6179,$6.6506,""
sheets,8.5 in,11 in,50,$22.99,"8mil","Non Adhesive","","4sGraphics","",$0.0049,$0.7081,$7.6224,""
sheets,11 in,17 in,50,$45.99,"8mil","Non Adhesive","","4sGraphics","",$0.0049,$0.7083,$7.6240,""
sheets,12 in,18 in,50,$52.99,"8mil","Non Adhesive","","4sGraphics","",$0.0049,$0.7065,$7.6051,""
sheets,13 in,19 in,50,$60.99,"8mil","Non Adhesive","","4sGraphics","",$0.0049,$0.7111,$7.6546,""
sheets,14.33 in,20.5 in,50,$71.99,"8mil","Non Adhesive","","4sGraphics","",$0.0049,$0.7058,$7.5969,""
sheets,14.33 in,26 in,50,$91.50,"8mil","Non Adhesive","","4sGraphics","",$0.0049,$0.7073,$7.6131,""
sheets,8.5 in,11 in,50,$29.99,"10mil","Non Adhesive","","4sGraphics","",$0.0064,$0.9238,$9.9432,""
sheets,11 in,17 in,50,$59.99,"10mil","Non Adhesive","","4sGraphics","",$0.0064,$0.9239,$9.9449,""
sheets,12 in,18 in,50,$69.99,"10mil","Non Adhesive","","4sGraphics","",$0.0065,$0.9332,$10.0449,""
sheets,13 in,19 in,50,$79.99,"10mil","Non Adhesive","","4sGraphics","",$0.0065,$0.9327,$10.0393,""
sheets,14.33 in,20.5 in,50,$94.99,"10mil","Non Adhesive","","4sGraphics","",$0.0065,$0.9313,$10.0240,""
sheets,8.5 in,11 in,50,$33.99,"11mil","Non Adhesive","","4sGraphics","",$0.0073,$1.0470,$11.2694,""
sheets,11 in,17 in,50,$67.99,"11mil","Non Adhesive","","4sGraphics","",$0.0073,$1.0471,$11.2711,""
sheets,12 in,18 in,50,$78.99,"11mil","Non Adhesive","","4sGraphics","",$0.0073,$1.0532,$11.3366,""
sheets,13 in,19 in,50,$89.99,"11mil","Non Adhesive","","4sGraphics","",$0.0073,$1.0493,$11.2943,""
sheets,14.33 in,20.5 in,50,$106.99,"11mil","Non Adhesive","","4sGraphics","",$0.0073,$1.0489,$11.2903,""
sheets,14.33 in,26 in,50,$135.99,"11mil","Non Adhesive","","4sGraphics","",$0.0073,$1.0512,$11.3149,""
sheets,11 in,17 in,25,$42.99,"14mil","Non Adhesive","","4sGraphics","",$0.0092,$1.3242,$14.2534,""
sheets,12 in,18 in,25,$45.99,"14mil","Non Adhesive","","4sGraphics","",$0.0085,$1.2264,$13.2009,""
sheets,13 in,19 in,25,$51.99,"14mil","Non Adhesive","","4sGraphics","",$0.0084,$1.2124,$13.0501,""
sheets,14.33 in,20.5 in,25,$61.99,"14mil","Non Adhesive","","4sGraphics","",$0.0084,$1.2155,$13.0832,""
sheets,14.33 in,26 in,25,$78.99,"14mil","Non Adhesive","","4sGraphics","",$0.0085,$1.2212,$13.1445,""
sheets,13 in,19 in,50,$81.99,"8mil","Non Adhesive","Metallic Pearl Gold","4sGraphics","",$0.0066,$0.9560,$10.2903,""
sheets,13 in,19 in,50,$78.99,"8mil","Non Adhesive","Metallic Pearl Silver","4sGraphics","",$0.0064,$0.9210,$9.9137,""
sheets,20.9 in,29.5 in,100,$400.99,"8mil","Non Adhesive","Metallic Pearl Silver","4sGraphics","",$0.0065,$0.9365,$10.0809,""
sheets,13 in,19 in,50,$78.99,"8mil","Non Adhesive","Metallic Pearl Rose","","",$0.0064,$0.9210,$9.9137,""
sheets,12 in,18 in,50,$69.99,"10mil","Non Adhesive","Frosted","4sGraphics","",$0.0065,$0.9332,$10.0449,""
sheets,13 in,19 in,50,$79.99,"10mil","Non Adhesive","Frosted","4sGraphics","",$0.0065,$0.9327,$10.0393,""
sheets,12 in,18 in,50,$41.99,"8mil","Non Adhesive","Backlit Film","4sGraphics","",$0.0039,$0.5599,$6.0264,""
sheets,13 in,19 in,50,$47.99,"8mil","Non Adhesive","Backlit Film","4sGraphics","",$0.0039,$0.5596,$6.0230,""
sheets,14.33 in,20.5 in,50,$56.99,"8mil","Non Adhesive","Backlit Film","4sGraphics","",$0.0039,$0.5587,$6.0140,""
sheets,12 in,18 in,200,$299.79,"15mil","Non Adhesive","Other","4sGraphics","",$0.0069,$0.9993,$10.7564,"Graffiti Fabric Canvas"
sheets,13 in,19 in,200,$309.79,"15mil","Non Adhesive","","4sGraphics","",$0.0063,$0.9030,$9.7202,"Graffiti Fabric Canvas"