ProductID,ProductName,ProductType,Size,ItemCode,MinOrderQty,EXPORT_pricePerSqm,MASTER_DISTRIBUTOR_pricePerSqm,DEALER_pricePerSqm,DEALER_2_pricePerSqm,Approval_Retail_pricePerSqm,Stage25_pricePerSqm,Stage2_pricePerSqm,Stage15_pricePerSqm,Stage1_pricePerSqm,Retail_pricePerSqm
1,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,"8.5""x11""",GOSF05-08x11,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
2,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,"11""x17""",GOSF05-11x17,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
3,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,"12""x18""",GOSF05-12x18,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
4,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,"13""x19""",GOSF05-13x19,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
5,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,"20.9""x29.5""",GOSF05-21x30,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.7
6,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,"8.5""x11""",GOSF08-08x11,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
7,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,"11""x17""",GOSF08-11x17,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
8,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,"12""x18""",GOSF08-12x18,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
9,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,"13""x19""",GOSF08-13x19,50 Sheets,3.11,3.78,4.2,4.42,5.36,5.74,6.12,6.5,6.89,7.65
10,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,"8.5""x11""",GOSF10-08x11,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
11,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,"11""x17""",GOSF10-11x17,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
12,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,"12""x18""",GOSF10-12x18,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
13,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,"13""x19""",GOSF10-13x19,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.3,7.78,8.27,8.76,9.73
14,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,"8.5""x11""",GOSF11-08x11,50 Sheets,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
15,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,"11""x17""",GOSF11-11x17,50 Sheets,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
16,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,"12""x18""",GOSF11-12x18,50 Sheets,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
17,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,"13""x19""",GOSF11-13x19,50 Sheets,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
18,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,"14.33""x20.5""",GOSF11-14x20,50 Sheets,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
19,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,"14.33""x26""",GOSF11-14x26,50 Sheets,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
20,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,"20.9""x29.5""",GOSF11-21x30,50 Sheets,4.6,5.58,6.2,6.53,7.81,8.37,8.93,9.49,10.04,11.16
21,Graffiti Polyester Paper Graffiti BlockOut Polyester 11mil,Graffiti BlockOut Polyester 11mil,"13""x19""",GOBO11-13x19,50 Sheets,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
22,Graffiti Polyester Paper Graffiti BlockOut Polyester 11mil,Graffiti BlockOut Polyester 11mil,"20.9""x29.5""",GOBO11-21x30,50 Sheets,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
23,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,"11""x17""",GOSF14-11x17,25 Sheets,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
24,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,"12""x18""",GOSF14-12x18,25 Sheets,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
25,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,"13""x19""",GOSF14-13x19,25 Sheets,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
26,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,"14.33""x20.5""",GOSF14-14x20,25 Sheets,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
27,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,"14.33""x26""",GOSF14-14x26,25 Sheets,6.14,7.46,8.29,8.73,9.1,9.75,10.4,11.05,11.7,13
28,Graffiti Polyester Paper Graffiti Metallic Gold 8mil,Graffiti Metallic Gold 8mil,"13""x19""",GMEG08-13x19,50 Sheets,5.76,7,7.78,8.19,9.8,10.5,11.2,11.9,12.6,14
29,Graffiti Polyester Paper Graffiti Metallic Gold 11mil,Graffiti Metallic Gold 11mil,"13""x19""",GMEG11-13x19,50 Sheets,8.24,10,11.11,11.7,14,15,16,17,18,20
30,Graffiti Polyester Paper Graffiti Metallic Silver 8mil,Graffiti Metallic Silver 8mil,"13""x19""",GMES08-13x19,50 Sheets,5.76,7,7.78,8.19,9.8,10.5,11.2,11.9,12.6,14
31,Graffiti Polyester Paper Graffiti Metallic Silver 11mil,Graffiti Metallic Silver 11mil,"13""x19""",GMES11-13X19,50 Sheets,8.24,10,11.11,11.7,14,15,16,17,18,20
32,Graffiti Polyester Paper Graffiti Metallic Rose 8mil,Graffiti Metallic Rose 8mil,"13""x19""",GMER08-13X19,50 Sheets,6.09,7.4,8.22,8.65,10.36,11.1,11.84,12.58,13.32,14.8
33,Graffiti Polyester Paper Graffiti Metallic Rose 11mil,Graffiti Metallic Rose 11mil,"13""x19""",GMER11-13X19,50 Sheets,8.24,10,11.11,11.7,14,15,16,17,18,20
34,Graffiti Polyester Paper Graffiti Metallic Mirror 8mil,Graffiti Metallic Mirror 8mil,"13""x19""",GMEM08-13X19,50 Sheets,5.44,6.6,7.33,7.72,9.24,9.9,10.56,11.22,11.88,13.2
35,Graffiti Polyester Paper Graffiti Backlit Film 8mil,Graffiti Backlit Film 8mil,"13""x19""",GBAC08-13X19,50 Sheets,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
36,Graffiti Polyester Paper Graffiti Backlit Film 8mil,Graffiti Backlit Film 8mil,"12""x18""",GBAC08-12X18,50 Sheets,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
37,Graffiti Polyester Paper Graffiti Backlit Film 8mil,Graffiti Backlit Film 8mil,"14.33""x20.5""",GBAC08-14X20,50 Sheets,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
38,Graffiti Polyester Paper Graffiti Frosted Film 4mil,Graffiti Frosted Film 4mil,"8.5""x11""",SFLFS04-08X11,100 Sheets,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
39,Graffiti Polyester Paper Graffiti Frosted Film 4mil,Graffiti Frosted Film 4mil,"11""x17""",SFLFS04-11X17,100 Sheets,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
40,Graffiti Polyester Paper Graffiti Frosted Film 4mil,Graffiti Frosted Film 4mil,"12""x18""",SFLFS04-12X18,100 Sheets,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
41,Graffiti Polyester Paper Graffiti Frosted Film 4mil,Graffiti Frosted Film 4mil,"13""x19""",SFLFS04-13X19,100 Sheets,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
42,Graffiti Polyester Paper Graffiti Frosted Film 4mil,Graffiti Frosted Film 4mil,"8.5""x14""",SFLFS04-08X14,100 Sheets,1.65,2,2.22,2.34,2.8,3,3.2,3.4,3.6,4
43,Graffiti Polyester Paper Graffiti Frosted Film 11mil,Graffiti Frosted Film 11mil,"13""x19""",GFRO11-13X19,50 Sheets,3.95,4.8,5.33,5.61,6.72,7.2,7.68,8.16,8.64,9.6
44,Graffiti Polyester Paper Graffiti Clear Film - 4mil,Graffiti Clear Film - 4mil,"13""x19""",SFLCS04-13X19,100 Sheets,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
45,Graffiti Polyester Paper Graffiti Clear Film - 4mil,Graffiti Clear Film - 4mil,"8.5""x14""",SFLCS04-08X14,100 Sheets,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
46,Graffiti Polyester Paper Graffiti Clear Film - 4mil,Graffiti Clear Film - 4mil,"11""x17""",SFLCS04-11X17,100 Sheets,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
47,Graffiti Polyester Paper Graffiti Clear Film - 4mil,Graffiti Clear Film - 4mil,"12""x18""",SFLCS04-12X18,100 Sheets,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
48,Graffiti Polyester Paper Graffiti Clear Film 10mil,Graffiti Clear Film 10mil,"13""x19""",GCLE10-13X19,50 Sheets,3.95,4.8,5.33,5.61,6.72,7.2,7.68,8.16,8.64,9.6
49,Graffiti Polyester Paper Graffiti Clear Film 10mil,Graffiti Clear Film 10mil,"12""x18""",GCLE10-12X18,50 Sheets,3.95,4.8,5.33,5.61,6.72,7.2,7.68,8.16,8.64,9.6
50,Graffiti Polyester Paper Graffiti AuraBoard - Silver,Graffiti AuraBoard - Silver,"13""x19""",GAURA301-13X19,100 Sheets,4.86,5.9,6.56,6.9,8.26,8.85,9.44,10.03,10.62,11.8
51,Graffiti Polyester Paper Graffiti AuraBoard - Holographics,Graffiti AuraBoard - Holographics,"13""x19""",GAURA301-13X19,100 Sheets,6.92,8.4,9.33,9.82,11.76,12.6,13.44,14.28,15.12,16.8
52,Graffiti Polyester Paper DIGITAL FABRICS - 12 Oz,DIGITAL FABRICS - 12 Oz,"13""x19""",GCAN12-13X19,200 Sheets,6.59,8,8.89,9.36,11.2,12,12.8,13.6,14.4,16
53,Graffiti Blended Poly Graffiti Blended Poly 8mil,Graffiti Blended Poly 8mil,"12""x18""",GPOLY081218B,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
54,Graffiti Blended Poly Graffiti Blended Poly 8mil,Graffiti Blended Poly 8mil,"13""x19""",GPOLY081319B,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
55,Graffiti Blended Poly Graffiti Blended Poly 8mil,Graffiti Blended Poly 8mil,"20.9""x29.5""",GPOLY082130B,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
56,Graffiti Blended Poly Graffiti Blended Poly 8mil,Graffiti Blended Poly 8mil,"28""x40""",GPOLY082840B,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
57,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"12""x18""",GPOLY111218B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
58,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"13""x19""",GPOLY111319B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
59,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"20.9""x29.5""",GPOLY112130B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
60,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"28""x40""",GPOLY112840B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
61,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"12""x18""",GPOLY141218B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
62,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"13""x19""",GPOLY141319B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
63,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"20.9""x29.5""",GPOLY142130B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
64,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"28""x40""",GPOLY142840B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
65,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"12""x18""",GPOLY081218M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
66,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"13""x19""",GPOLY081319M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
67,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"20.9""x29.5""",GPOLY082130M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
68,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"28""x40""",GPOLY082840M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
69,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"12""x18""",GPOLY111218M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
70,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"13""x19""",GPOLY111319M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
71,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"20.9""x29.5""",GPOLY112130M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
72,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"28""x40""",GPOLY112840M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
73,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"12""x18""",GPOLY141218M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
74,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"13""x19""",GPOLY141319M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
75,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"20.9""x29.5""",GPOLY142130M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
76,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"28""x40""",GPOLY142840M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
77,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - No Slits,"8.5""x11""",GSCOL040811W,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
78,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - No Slits,"12x18""",GSCOL041218W,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
79,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - Slits,"12x18""",GSCOL041218S,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
80,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - No Slits,"13x19""",GSCOL041319W,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - Slits,"13x19""",GSCOL041319S,100 Sheets,,,,,,,,,,
81,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil,"20.9""x29.5""",GSCLR042130C,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
82,GraffitiSTICK Graffiti CLEARStick - 4mil,Graffiti CLEARStick - 4mil,"13""x19""",GSCLR041319C,100 Sheets,2.39,2.9,3.22,3.39,4.06,4.35,4.64,4.93,5.22,5.8
83,GraffitiSTICK Graffiti SILVERStick - 4mil,Graffiti SILVERStick - 4mil,"13""x19""",GSSILS041319S,100 Sheets,2.31,2.8,3.11,3.27,3.92,4.2,4.48,4.76,5.04,5.6
84,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil - Slits,"12x18""",GSPAP041218S,100 Sheets,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
85,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil - No Slits,"13x19""",GSPAP041319W,100 Sheets,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil - Slits,"13x19""",GSPAP041319S,100 Sheets,,,,,,,,,,
86,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil,"20.9""x29.5""",GSPAP042130S,100 Sheets,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
87,GraffitiSTICK Graffiti MAGNETICS - 16mil,Graffiti MAGNETICS - 16mil,"13""x19""",GSMAG1613x19L,100 Sheets,9.77,11.86,13.18,13.87,16.6,17.79,18.98,20.16,21.35,23.72
88,GraffitiSTICK Graffiti DURAStick - 6mil,Graffiti DURAStick - 6mil,"13""x19""",GSDUR061319W2,200 Sheets,2.47,3,3.33,3.51,4.2,4.5,4.8,5.1,5.4,6
89,GraffitiSTICK Graffiti SlickStick Clear - 6mil,Graffiti SlickStick Clear - 6mil,"13""x19""",GSSLI061319C,100 Sheets,8.21,9.96,11.07,11.65,13.95,14.95,15.94,16.94,17.94,19.93
90,GraffitiSTICK Graffiti SlickStick White - 6mil,Graffiti SlickStick White - 6mil,"13""x19""",GSSLI061319W,100 Sheets,8.21,9.96,11.07,11.65,13.95,14.95,15.94,16.94,17.94,19.93
91,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 60:40,"54""x100'",SOWVB645410S,1 Roll,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
92,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 60:40,"60""x100'",SOWVB646010S,1 Roll,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 70:30,"54""x100'",SOWVB735410S,1 Roll,,,,,,,,,,
,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 70:30,"60""x100'",SOWVB736010S,1 Roll,,,,,,,,,,
93,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 8mil,Solvit Polyester (Grey Back) Banner 8mil,"38""x100'",SPETG083810L,1 Roll,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
94,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 8mil,Solvit Polyester (Grey Back) Banner 8mil,"38""x165'",SPETG083816L,1 Roll,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
95,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 8mil,Solvit Polyester (Grey Back) Banner 8mil,"54""x100'",SPETG085410L,1 Roll,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
96,SolviT Sign & Display Media Solvit Polyester (White Back) Banner 8mil,Solvit Polyester (White Back) Banner 8mil,"38""x100'",SPETW083810M,1 Roll,3.05,3.7,4.11,4.33,5.18,5.55,5.92,6.29,6.66,7.4
97,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 10mil,Solvit Polyester (Grey Back) Banner 10mil,"38""x100'",SPETG103810L,1 Roll,4.04,4.9,5.44,5.73,6.86,7.35,7.84,8.33,8.82,9.8
98,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Gloss,"38""x150'",SPVC8133815G,1 Roll,1.37,1.66,1.84,1.94,2.32,2.49,2.66,2.82,2.99,3.32
99,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Gloss,"54""x150'",SPVC8135415G,1 Roll,1.37,1.66,1.84,1.94,2.32,2.49,2.66,2.82,2.99,3.32
